filename,page,rect_index,rect_bounds,rect_width,rect_height,word_count,overlapped_text
20-3061_Documents.pdf,329,37,"(451.5,660.9,534.0,671.9)",82.5,10.9,1,with
20-3061_Documents.pdf,329,38,"(71.0,674.7,318.4,685.7)",247.3,10.9,4,the government served -
20-3061_Documents.pdf,329,42,"(466.5,688.5,525.2,699.4)",58.7,10.9,2,served with
20-3061_Documents.pdf,330,6,"(71.0,164.1,512.7,175.0)",441.7,10.9,9,"During these ex parte proceedings, the government made numerous"
20-3061_Documents.pdf,330,7,"(71.0,177.9,198.7,188.8)",127.6,10.9,3,unchallenged factual assertions.
20-3061_Documents.pdf,330,8,"(171.9,205.5,510.2,216.4)",338.3,10.9,9,"not the government, any court, or disclosed to Ms."
20-3061_Documents.pdf,330,23,"(153.7,440.1,494.2,451.0)",340.5,10.9,1,the
20-3061_Documents.pdf,330,24,"(71.0,453.9,463.7,464.8)",392.6,10.9,11,"government arrested Ms. Maxwell. On July 8, the government filed superseding"
20-3061_Documents.pdf,330,25,"(263.3,548.7,291.4,561.5)",28.1,12.7,1,referenced
20-3061_Documents.pdf,330,26,"(71.0,550.5,260.3,561.5)",189.3,10.9,5,On the two applications referenced
20-3061_Documents.pdf,330,27,"(294.5,550.5,488.0,561.5)",193.5,10.9,1,above
20-3061_Documents.pdf,330,29,"(329.5,564.3,536.1,575.3)",206.6,10.9,5,SDNY courts rendered split decision.
20-3061_Documents.pdf,330,31,"(496.5,578.1,524.5,589.1)",28.0,10.9,1,the
20-3061_Documents.pdf,330,33,"(71.0,495.3,198.3,506.2)",127.3,10.9,4,conceal her conduct” by
20-3061_Documents.pdf,331,1,"(158.6,95.1,283.1,106.0)",124.5,10.9,1,.7
20-3061_Documents.pdf,331,13,"(71.0,246.9,508.0,257.8)",437.0,10.9,15,"These issues, in turn, impact her rights as the accused in this matter, constitutionally presumed"
20-3061_Documents.pdf,332,11,"(71.0,343.5,533.9,354.4)",462.9,10.9,10,“The rule does not impose any obligation of secrecy on
20-3061_Documents.pdf,332,12,"(71.0,357.3,251.9,368.2)",180.9,10.9,7,"witnesses.” Fed. R. Crim. P. 6, Advisory"
20-3061_Documents.pdf,332,14,"(226.3,440.1,518.4,451.0)",292.1,10.9,7,Without the ability to use - -
20-3061_Documents.pdf,332,15,"(71.0,453.9,391.3,464.8)",320.3,10.9,11,Material in the very limited fashion proposed Ms. Maxwell she -
20-3061_Documents.pdf,332,38,"(71.0,398.7,491.4,409.6)",420.4,10.9,6,Too many questions remain unanswered -
20-3061_Documents.pdf,332,39,"(71.0,412.5,291.9,423.4)",220.9,10.9,7,including exactly what was said between the
20-3061_Documents.pdf,333,13,"(330.2,426.3,409.4,437.2)",79.2,10.9,3,access as judicial
